,group,names,scores,logfoldchanges,pvals,pvals_adj
4166,COVID,STMN3,1.8877435,1.0338814,0.06058336788341608,0.5063584720824902
4167,COVID,AC116407.2,1.8876873,1.9641298,0.0608988257165686,0.5080427824463882
4168,COVID,AC027097.1,1.8875136,0.83508587,0.060588230366387615,0.5063584720824902
4169,COVID,SDHC,1.8869268,0.4109439,0.06023741453993082,0.5039803672837225
4170,COVID,AC093525.4,1.8864751,0.95367134,0.06084116496018726,0.5078345867237705
4171,COVID,PEX1,1.8864046,1.2569668,0.060975863696708085,0.5084123204666994
4172,COVID,POP5,1.8858888,0.47051263,0.06046002639903546,0.5055591221993659
4173,COVID,MLXIP,1.8856986,0.6089622,0.06066414045822281,0.506803028234387
4174,COVID,LINC00672,1.8850201,1.3658592,0.06106519212435898,0.5090660182392875
4175,COVID,C16orf91,1.884517,0.78543437,0.0607605396709134,0.5073434271428267
4176,COVID,PSMA6,1.884217,0.5937461,0.06078266216145811,0.5074371924963019
4177,COVID,IRF2,1.8840286,0.79167265,0.06088942803841416,0.5080427824463882
4178,COVID,FRMD4A,1.8839631,2.049365,0.06143206816972117,0.5115751633211103
4179,COVID,TAF11,1.8827503,0.5712521,0.0609232653002536,0.5081556653083282
4180,COVID,TRMT44,1.8826797,1.365861,0.06136807289979217,0.5111336148692863
4181,COVID,DHRS4L2,1.8825977,0.59190565,0.06095086313772179,0.5082948457586166
4182,COVID,POLR2E,1.8819064,0.41107613,0.060852466376904384,0.5078379243464195
4183,COVID,RTN3,1.881192,0.5080011,0.06117015902807147,0.5097794570042307
4184,COVID,MRPL58,1.8808466,0.9336917,0.06156294043939397,0.5124817758092797
4185,COVID,BCL2L2,1.88001,1.8921766,0.06201454636973594,0.5154122440834574
4186,COVID,ATP6V0A1,1.8793887,0.64859605,0.0615491745171471,0.5124587570521502
4187,COVID,ITGAE,1.8791167,0.37737587,0.061193520634197744,0.5098620935831636
4188,COVID,NOCT,1.8787736,2.936046,0.062371658600818156,0.5176414295849836
4189,COVID,XBP1,1.8787154,0.31565586,0.06122376172803862,0.5100228391164076
4190,COVID,CUL4A,1.8782358,0.7006659,0.06171450170323367,0.5134681813437109
4191,COVID,MYBPC2,1.8779876,4.454147,0.06256873526033514,0.5185203250174446
4192,COVID,ST7L,1.8779384,1.0061685,0.0618287933901058,0.5143272341579801
4193,COVID,NSMCE4A,1.877673,0.5053169,0.061593344939719186,0.5126432697287616
4194,COVID,AC110615.1,1.8767815,4.223618,0.06272087085728016,0.5194291640916514
4195,COVID,MRPS11,1.8765918,0.5901908,0.061846500940122326,0.5143826816273269
4196,COVID,AC004846.1,1.8756989,0.64897263,0.06215392965669954,0.5160182960484212
4197,COVID,OTUD1,1.8756498,0.96485996,0.062114683356639944,0.5158763432850267
4198,COVID,DDN-AS1,1.8752017,2.2819278,0.06271768484515572,0.5194291640916514
4199,COVID,ATP6V1H,1.8751055,0.5544758,0.06199357241824102,0.5154122440834574
4200,COVID,AL118506.1,1.8749865,2.8830662,0.06281611279709201,0.5200096083385848
