,group,names,scores,logfoldchanges,pvals,pvals_adj
69,COVID,ISG20,4.5472574,1.579879,7.070895437592278e-06,0.002513703328064055
70,COVID,PIM1,4.480333,1.486813,9.790624482585556e-06,0.003239339587470906
71,COVID,EWSR1,4.469936,0.92960525,1.145328415734771e-05,0.0036538366249878633
72,COVID,SPATS2L,4.4535484,1.6393604,1.0907206069034113e-05,0.0035429041127297153
73,COVID,MAPK6,4.4402137,2.5990953,1.0920164096452725e-05,0.0035429041127297153
74,COVID,RNMT,4.438781,1.5804701,1.1480768639426808e-05,0.0036538366249878633
75,COVID,HBB,4.4240227,1.0347329,1.315312374265521e-05,0.004069795704706567
76,COVID,IFIH1,4.416164,1.8523211,1.2843081801898736e-05,0.0040488421186231135
77,COVID,HMGB2,4.4062295,1.0536244,1.431789218869965e-05,0.0043895504887135435
78,COVID,MAD2L2,4.3829737,1.2865183,1.5266804858375706e-05,0.004619387507143861
79,COVID,NRGN,4.370364,1.8929741,1.53440468412176e-05,0.004619387507143861
80,COVID,ITGA2B,4.34163,3.6831903,1.7078503320974168e-05,0.005006248644535033
81,COVID,RPS14,4.338887,0.445894,2.2254361887269907e-05,0.006095688616286053
82,COVID,OASL,4.319056,26.33579,1.9832719235792105e-05,0.005619117150048916
83,COVID,C19orf66,4.304823,1.5171412,2.108068111540942e-05,0.005870442673613638
84,COVID,ELMO1,4.291644,1.1339128,2.34332872341693e-05,0.006264561276033884
85,COVID,ARMC5,4.280773,1.6410856,2.3008859541125068e-05,0.006251114303136393
86,COVID,DUSP23,4.2807345,26.143698,2.3394573485733508e-05,0.006264561276033884
87,COVID,RPS20,4.2559996,0.2556916,2.7323837666573386e-05,0.0071334428383115845
88,COVID,RBM38,4.2533903,1.4799209,2.639950349572804e-05,0.006984402947119444
89,COVID,CCDC88C,4.2335043,1.5761503,2.8420626760150706e-05,0.007249863240030199
90,COVID,HMGA1,4.230261,1.012696,3.080394926860267e-05,0.007798299793249208
91,COVID,IFITM3,4.2026887,1.6781358,3.192459495097419e-05,0.008021234507343643
92,COVID,SLC7A5,4.1944203,0.8557626,3.6970424325019634e-05,0.009151412367919859
93,COVID,BST2,4.1555853,0.9888341,4.212356743528636e-05,0.010200313427427277
94,COVID,PPP1R15A,4.155328,0.83022636,4.3754161840177085e-05,0.01036973635612197
95,COVID,VCAN,4.13767,1.3956991,4.28495892254418e-05,0.01022789087961849
96,COVID,NINJ1,4.137005,2.7139757,4.0862118420935136e-05,0.009967075994688974
97,COVID,GRASP,4.134294,1.6099262,4.261462963527931e-05,0.01022789087961849
98,COVID,GM2A,4.1291747,1.2515141,4.554389889251819e-05,0.010642940344694268
99,COVID,TMEM176A,4.107587,26.30258,4.859999030650019e-05,0.0112782352505022
100,COVID,RUNX1,4.104446,1.1266863,5.038601554969033e-05,0.011532530696054807
101,COVID,MCL1,4.091546,0.7676812,5.6400046342074847e-05,0.012564802324087434
102,COVID,HK3,4.089681,26.003075,5.2342495375128275e-05,0.011898837877215384
103,COVID,RNF216P1,4.0501385,3.6041195,5.92558928288055e-05,0.013113603779206577
104,COVID,HLA-DRB6,4.0466723,1.1182613,6.495221399119832e-05,0.014094208668466718
105,COVID,VPS37B,3.990191,26.063076,7.865924192544328e-05,0.016601933011990908
106,COVID,C9orf72,3.9884002,1.4708035,7.899294816729672e-05,0.016601933011990908
107,COVID,SLC11A1,3.9829206,2.4675295,7.74056678846027e-05,0.016475574545858396
108,COVID,AC096919.1,3.9755943,2.3681726,8.008141729219053e-05,0.016725504510332067
109,COVID,GMPR,3.9658504,2.1915512,8.350669611535314e-05,0.017332566857681714
110,COVID,GMDS,3.9626753,2.4559653,8.408631680959635e-05,0.017345138573001736
